Class,class_num,Species,CHM,GreenVariance,GreenSkewness,GreenEntropy,GreenBand2,BlueBand3,RedBand1
shrub,1,sagebrush,-38.6684227,5.3565035,0.418559,5.3565035,51,49,51
shrub,1,sagebrush,-6.3957219,5.3938227,-0.0182092,5.3938227,101,105,96
shrub,1,sagebrush,-34.8620949,5.3879447,-0.3088426,5.3879447,148,146,149
shrub,1,sagebrush,-46.7945862,5.2999263,0.9690374,5.2999263,53,48,51
shrub,1,sagebrush,-32.2759972,5.3051081,0.5091243,5.3051081,78,83,74
shrub,1,sagebrush,-25.0893669,5.3931861,-0.9007227,5.3931861,195,173,190
shrub,1,sagebrush,-5.2866082,5.3427277,0.1906819,5.3427277,100,103,95
shrub,1,sagebrush,-3.6270959,5.3765841,-0.6876753,5.3765841,178,170,173
shrub,1,sagebrush,20.6283436,5.3314056,-0.1490178,5.3314056,51,54,46
shrub,1,sagebrush,48.0698357,5.383647,-0.159949,5.383647,196,177,186
shrub,1,sagebrush,-15.8518887,5.2812219,0.5001332,5.2812219,48,58,48
shrub,1,sagebrush,-30.6650066,5.3694735,0.1125993,5.3694735,147,127,146
shrub,1,sagebrush,-6.7290182,5.3980532,-0.8872644,5.3980532,190,171,187
shrub,1,sagebrush,-10.0969458,5.3925695,-1.0286905,5.3925695,139,135,134
shrub,1,sagebrush,40.145565,5.355813,-0.0984038,5.355813,206,207,202
shrub,1,sagebrush,-16.7008667,5.3913488,-0.5933079,5.3913488,160,137,155
shrub,1,sagebrush,-23.0180054,5.3113947,0.5860441,5.3113947,48,55,45
shrub,1,sagebrush,-23.3639259,5.367548,-0.3361166,5.367548,122,125,120
shrub,1,sagebrush,-36.332489,5.3798456,-0.1203024,5.3798456,93,90,91
shrub,1,sagebrush,90.4226151,5.3872423,-0.3658731,5.3872423,86,63,81
shrub,1,sagebrush,-13.6838207,5.3993211,-0.506685,5.3993211,180,179,172
shrub,1,sagebrush,67.8709641,5.3615446,0.1954608,5.3615446,92,89,90
shrub,1,sagebrush,80.4849777,5.3351083,0.2015529,5.3351083,150,139,147
shrub,1,sagebrush,-11.8335381,5.3795691,-0.0728459,5.3795691,135,139,136
shrub,1,sagebrush,-22.0482521,5.3259659,-0.4645433,5.3259659,178,169,175
shrub,1,sagebrush,-12.2984324,5.3263865,0.2179935,5.3263865,82,79,78
shrub,1,sagebrush,-20.2306576,5.3474164,0.8508065,5.3474164,67,69,67
